source,target,probability_mean,probability_std,numeric_score_target,known_positive,source_type,target_type,score_final,symbolic_confidence,sym_base_score,path_length,sym_category,neurosymbolic_score
_:b152,bonusPoints,0.08586027504788571,0.1650275820597509,0.0,False,AtomList,BonusPoints,0.06868822003830857,0.17689130203804734,0.25,4,indirect,0.14503044259149078
_:b217,bonusPoints,0.08586027504788571,0.1650275820597509,0.0,False,AtomList,BonusPoints,0.06868822003830857,0.17689130203804734,0.25,4,indirect,0.14503044259149078
IK_GE_BlockGame,Motrain,0.08564774940081517,0.15118850483354193,0.0,False,IndexKey,GameElementResource,0.06851819952065213,0.17689130203804734,0.25,4,indirect,0.1449560586150161
IK_GE_stash,Motrain,0.08564774940081517,0.15118850483354193,0.0,False,IndexKey,GameElementResource,0.06851819952065213,0.17689130203804734,0.25,4,indirect,0.1449560586150161
IK_GE_TinyStash,Motrain,0.0856445886378026,0.1511909952925667,0.0,False,IndexKey,GameElementResource,0.06851567091024208,0.17689130203804734,0.25,4,indirect,0.14495495234796169
JavaEventListener,Motrain,0.08563200525769642,0.1512009185752992,0.0,False,IndexKey,GameElementResource,0.06850560420615713,0.17689130203804734,0.25,4,indirect,0.14495054816492453
TaskJavaPolymorphism,Motrain,0.08563200525769642,0.1512009185752992,0.0,False,IndexKey,GameElementResource,0.06850560420615713,0.17689130203804734,0.25,4,indirect,0.14495054816492453
JavaEventTypes,Motrain,0.08563200525769642,0.1512009185752992,0.0,False,IndexKey,GameElementResource,0.06850560420615713,0.17689130203804734,0.25,4,indirect,0.14495054816492453
JavaOverloadedConstructors,Motrain,0.08563200525769642,0.1512009185752992,0.0,False,IndexKey,GameElementResource,0.06850560420615713,0.17689130203804734,0.25,4,indirect,0.14495054816492453
JavaArgumentsParameters,Motrain,0.08563200525769642,0.1512009185752992,0.0,False,IndexKey,GameElementResource,0.06850560420615713,0.17689130203804734,0.25,4,indirect,0.14495054816492453
JavaTaskEventHandlerListener,Motrain,0.08563200525769642,0.1512009185752992,0.0,False,IndexKey,GameElementResource,0.06850560420615713,0.17689130203804734,0.25,4,indirect,0.14495054816492453
JavaFX,Motrain,0.08563200525769642,0.1512009185752992,0.0,False,IndexKey,GameElementResource,0.06850560420615713,0.17689130203804734,0.25,4,indirect,0.14495054816492453
JavaFiles,Motrain,0.08563200525769642,0.1512009185752992,0.0,False,IndexKey,GameElementResource,0.06850560420615713,0.17689130203804734,0.25,4,indirect,0.14495054816492453
JavaTryCatch,Motrain,0.08563200525769642,0.1512009185752992,0.0,False,IndexKey,GameElementResource,0.06850560420615713,0.17689130203804734,0.25,4,indirect,0.14495054816492453
JavaEvents,Motrain,0.08563200525769642,0.1512009185752992,0.0,False,IndexKey,GameElementResource,0.06850560420615713,0.17689130203804734,0.25,4,indirect,0.14495054816492453
JavaArithmeticOperations,Motrain,0.08563200525769642,0.1512009185752992,0.0,False,IndexKey,GameElementResource,0.06850560420615713,0.17689130203804734,0.25,4,indirect,0.14495054816492453
JavaOverloading,Motrain,0.08563200525769642,0.1512009185752992,0.0,False,IndexKey,GameElementResource,0.06850560420615713,0.17689130203804734,0.25,4,indirect,0.14495054816492453
TaskJavaExceptions,Motrain,0.08563200525769642,0.1512009185752992,0.0,False,IndexKey,GameElementResource,0.06850560420615713,0.17689130203804734,0.25,4,indirect,0.14495054816492453
JavaExceptions,Motrain,0.08563200525769642,0.1512009185752992,0.0,False,IndexKey,GameElementResource,0.06850560420615713,0.17689130203804734,0.25,4,indirect,0.14495054816492453
JavaIOStreams,Motrain,0.08563200525769642,0.1512009185752992,0.0,False,IndexKey,GameElementResource,0.06850560420615713,0.17689130203804734,0.25,4,indirect,0.14495054816492453
JavaGUILinkedScreens,Motrain,0.08563200525769642,0.1512009185752992,0.0,False,IndexKey,GameElementResource,0.06850560420615713,0.17689130203804734,0.25,4,indirect,0.14495054816492453
JavaDelimiters,Motrain,0.08563200525769642,0.1512009185752992,0.0,False,IndexKey,GameElementResource,0.06850560420615713,0.17689130203804734,0.25,4,indirect,0.14495054816492453
JavaOverriding,Motrain,0.08563200525769642,0.1512009185752992,0.0,False,IndexKey,GameElementResource,0.06850560420615713,0.17689130203804734,0.25,4,indirect,0.14495054816492453
JavaExceptionTypes,Motrain,0.08563200525769642,0.1512009185752992,0.0,False,IndexKey,GameElementResource,0.06850560420615713,0.17689130203804734,0.25,4,indirect,0.14495054816492453
TaskJavaGUI,Motrain,0.08563200525769642,0.1512009185752992,0.0,False,IndexKey,GameElementResource,0.06850560420615713,0.17689130203804734,0.25,4,indirect,0.14495054816492453
JavaGUIElements,Motrain,0.08563200525769642,0.1512009185752992,0.0,False,IndexKey,GameElementResource,0.06850560420615713,0.17689130203804734,0.25,4,indirect,0.14495054816492453
Points,bonusPoints,0.15038134783983903,0.14980544822962952,0.0,False,Class,BonusPoints,0.12030507827187123,0.14189130203804734,0.2,5,indirect,0.14486281806867443
r,bonusPoints,0.15036838564188687,0.13089612495694908,0.0,False,Variable,BonusPoints,0.1202947085135095,0.14189130203804734,0.2,5,indirect,0.14485828129939118
JavaArrays,Motrain,0.08500052073679032,0.1512852789396923,0.0,False,IndexKey,GameElementResource,0.06800041658943226,0.17689130203804734,0.25,4,indirect,0.1447295285826074
JavaStaticFunctions,Motrain,0.08498895122022225,0.15129429590162194,0.0,False,IndexKey,GameElementResource,0.0679911609761778,0.17689130203804734,0.25,4,indirect,0.14472547925180856
JavaParentClass,Motrain,0.08498875523481066,0.15129444288601265,0.0,False,IndexKey,GameElementResource,0.06799100418784852,0.17689130203804734,0.25,4,indirect,0.14472541065691452
bonus resource for lesson 4 Class Methods and Constructors,Tiny_stash,0.09765100788657129,0.16837190125951654,0.0415518252487452,False,unknown,Reward,0.08643117135900608,0.1699604554759694,0.16666666666666666,6,indirect,0.14465214881968008
ressource bonus pour la leçon 4 Méthodes et constructeurs de classe,Tiny_stash,0.09765100788657129,0.16837190125951654,0.0415518252487452,False,unknown,Reward,0.08643117135900608,0.1699604554759694,0.16666666666666666,6,indirect,0.14465214881968008
JavaSingleInheritance,Motrain,0.08436420721528345,0.1513884988991616,0.0,False,IndexKey,GameElementResource,0.06749136577222677,0.17689130203804734,0.25,4,indirect,0.14450681885008
JavaExtend,Motrain,0.08436206773756734,0.15139014173908016,0.0,False,IndexKey,GameElementResource,0.06748965419005387,0.17689130203804734,0.25,4,indirect,0.14450607003287935
TaskJavaClassesMethod,Motrain,0.08436144802146757,0.15139061667023795,0.0,False,IndexKey,GameElementResource,0.06748915841717405,0.17689130203804734,0.25,4,indirect,0.14450585313224443
JavaStatic,Motrain,0.08436120937561886,0.15139080740529265,0.0,False,IndexKey,GameElementResource,0.06748896750049509,0.17689130203804734,0.25,4,indirect,0.14450576960619738
JavaThis,Motrain,0.08436108740347924,0.15139088744875295,0.0,False,IndexKey,GameElementResource,0.0674888699227834,0.17689130203804734,0.25,4,indirect,0.1445057269159485
JavaConstructors,Motrain,0.08436103774717617,0.1513909200354497,0.0,False,IndexKey,GameElementResource,0.06748883019774093,0.17689130203804734,0.25,4,indirect,0.14450570953624242
TaskJavaClassesObjects,Motrain,0.08436064814177871,0.15139124396488093,0.0,False,IndexKey,GameElementResource,0.06748851851342297,0.17689130203804734,0.25,4,indirect,0.14450557317435334
JavaAccessModifiers,Motrain,0.08436048065455448,0.15139135387866004,0.0,False,IndexKey,GameElementResource,0.06748838452364359,0.17689130203804734,0.25,4,indirect,0.14450551455382485
JavaPackages,Motrain,0.08436041570988606,0.15139141356176353,0.0,False,IndexKey,GameElementResource,0.06748833256790886,0.17689130203804734,0.25,4,indirect,0.1445054918231909
JavaArrayOfInstances,Motrain,0.0843603857075982,0.1513914332508829,0.0,False,IndexKey,GameElementResource,0.06748830856607856,0.17689130203804734,0.25,4,indirect,0.14450548132239016
JavaClassInstance,Motrain,0.08436037300788077,0.1513914415851259,0.0,False,IndexKey,GameElementResource,0.06748829840630462,0.17689130203804734,0.25,4,indirect,0.14450547687748905
JavaStrings,Motrain,0.0843596895148024,0.1513919754484819,0.0,False,IndexKey,GameElementResource,0.06748775161184192,0.17689130203804734,0.25,4,indirect,0.1445052376549116
JavaIf,Motrain,0.08435376884064807,0.1513965437376876,0.0,False,IndexKey,GameElementResource,0.06748301507251846,0.17689130203804734,0.25,4,indirect,0.1445031654189576
taskJavaBasics,Motrain,0.08434532801115359,0.1514030569386801,0.0,False,IndexKey,GameElementResource,0.06747626240892288,0.17689130203804734,0.25,4,indirect,0.14450021112863454
JavaForWhile,Motrain,0.08434404577843879,0.15140405225841339,0.0,False,IndexKey,GameElementResource,0.06747523662275104,0.17689130203804734,0.25,4,indirect,0.14449976234718437
IK_GE_LevelUp,Motrain,0.08434314577665548,0.15140474547777874,0.0,False,IndexKey,GameElementResource,0.06747451662132439,0.17689130203804734,0.25,4,indirect,0.1444994473465602
Overriding,Motrain,0.22295908592708807,0.16338026896012733,0.0,False,GamifiedResource,GameElementResource,0.17836726874167047,0.10189130203804733,0.14285714285714285,7,indirect,0.14426502639921157
ProcessingPole,Stash,0.2785557078267054,0.1068738806230125,0.9172442572270822,False,Class,Reward,0.4062934177067808,0.07189130203804733,0.1,10,indirect,0.14422384406407765
UnderstandingPole,Stash,0.2785557078267054,0.1068738806230125,0.9172442572270822,False,Class,Reward,0.4062934177067808,0.07189130203804733,0.1,10,indirect,0.14422384406407765
DataTypes,Motrain,0.08329712211448939,0.15178692764019558,0.0,False,IndexKey,GameElementResource,0.06663769769159152,0.17689130203804734,0.25,4,indirect,0.14413333906480208
JavaVariables,Motrain,0.0830911858905484,0.15164020694175273,0.0,False,IndexKey,GameElementResource,0.06647294871243872,0.17689130203804734,0.25,4,indirect,0.14406126138642272
