"source","target","relation","weight","symmetric","transitive"
"lives_in","Person","domain","1.0","0","0"
"teaches","Agent","domain","1.0","0","0"
"works_in","Agent","domain","1.0","0","0"
"works_in","Person","domain","1.0","0","0"
"works_in","Person","domain","1.0","0","0"
"Motrain","RF_GE_Motrain","has_reference","0.266129","0","0"
"Task_about_Class_Methods_and_Constructors","RFK_L3_R5","has_reference","0.266129","0","0"
"Task_about_Class_Methods_and_Constructors","Static_Keyword","hasPreResource","0.298387","0","0"
"tbox","tbox","imports","0.008065","0","0"
"tbox","1.0","imports","0.008065","0","0"
"tbox","1.0","versionIRI","0.008065","0","0"
"Access_Modifiers","RFK_L2_R5","has_reference","0.266129","0","0"
"Access_Modifiers","Packages","hasPreResource","0.298387","0","0"
"Achievement","GameElementResource","subClassOf","0.548387","0","0"
"Active","ProcessingPole","subClassOf","0.548387","0","0"
"Active","Reflective","disjointWith","0.032258","0","0"
"Adam","Adam_Phil","has_user_account","0.024194","0","0"
"Adam","Expert","hasGamificationExperience","0.024194","0","0"
"Adam_Phil","OOPTeachers","member_of","0.024194","0","0"
"Arguments_and_parameters","Task_about_Inheritance","hasPreResource","0.298387","0","0"
"Arithmetic_operations","RFK_L1_R6","has_reference","0.266129","0","0"
"Arithmetic_operations","Stash","containsGameElement","0.120968","0","1"
"Arithmetic_operations","Task_about_Java_Basics","hasPreResource","0.298387","0","0"
"Array_of_instances","RFK_L2_R3","has_reference","0.266129","0","0"
"Array_of_instances","Class_Instance","hasPreResource","0.298387","0","0"
"Arrays","RFK_L2_R7","has_reference","0.266129","0","0"
"Audience_A","Sofia","isComposedOf","0.008065","0","0"
"Audience_A","Tom","isComposedOf","0.008065","0","0"
"BLockGame","RF_GE_BloackGame","has_reference","0.266129","0","0"
"Badge","GameElementResource","subClassOf","0.548387","0","0"
"BehaviouralObjective","Objective","subClassOf","0.548387","0","0"
"BonusPoints","Points","subClassOf","0.548387","0","0"
"BonusPointsLeaderboard","Leaderboard","subClassOf","0.548387","0","0"
"Buil-in_Data_Types","ReferenceKey1","has_reference","0.266129","0","0"
"Buil-in_Data_Types","Level_Up","containsGameElement","0.120968","0","1"
"Buil-in_Data_Types","Tiny_stash","containsGameElement","0.120968","0","1"
"Buil-in_Data_Types","PO1","designedWithObjective","0.008065","0","1"
"Buil-in_Data_Types","Participation","designedWithObjective","0.008065","0","1"
"Buil-in_Data_Types","effectively_use_the_built-in_data_types","designedWithObjective","0.008065","0","1"
"Buil-in_Data_Types","recognizing_the_properties_of_the_built-in_data_types","designedWithObjective","0.008065","0","1"
"COntentKnowledge","Knowledge","subClassOf","0.548387","0","0"
"Challenge","GameElementResource","subClassOf","0.548387","0","0"
"Class_Instance","RFK_L2_R2","has_reference","0.266129","0","0"
"Class_Instance","Class_attributes_and_functions","hasPreResource","0.298387","0","0"
"Class_Methods_and_Constructors","Task_about_Class_Methods_and_Constructors","contains","0.072581","0","0"
"Class_Methods_and_Constructors","Constructors","contains","0.072581","0","0"
"Class_Methods_and_Constructors","Function_Types","contains","0.072581","0","0"
"Class_Methods_and_Constructors","Static_Keyword","contains","0.072581","0","0"
"Class_Methods_and_Constructors","Static_functions","contains","0.072581","0","0"
"Class_Methods_and_Constructors","This_Keyword","contains","0.072581","0","0"
"Class_Methods_and_Constructors","Classes_and_Objects","hasPreLesson","0.064516","0","0"
"Class_attributes_and_functions","RFK_L2_R1","has_reference","0.266129","0","0"
"Classes_and_Objects","Access_Modifiers","contains","0.072581","0","0"
"Classes_and_Objects","Array_of_instances","contains","0.072581","0","0"
"Classes_and_Objects","Arrays","contains","0.072581","0","0"
"Classes_and_Objects","Class_Instance","contains","0.072581","0","0"
"Classes_and_Objects","Class_attributes_and_functions","contains","0.072581","0","0"
"Classes_and_Objects","Packages","contains","0.072581","0","0"
"Classes_and_Objects","Task_about_Classes_and_Objects","contains","0.072581","0","0"
"Classes_and_Objects","Java_Basics","hasPreLesson","0.064516","0","0"
"Constructors","RFK_L3_R2","has_reference","0.266129","0","0"
"Constructors","Function_Types","hasPreResource","0.298387","0","0"
"Control_Statements","RFK_L1_R4","has_reference","0.266129","0","0"
"Control_Statements","BLockGame","containsGameElement","0.120968","0","1"
"Control_Statements","Stash","containsGameElement","0.120968","0","1"
"Control_Statements","Functions","hasPreResource","0.298387","0","0"
"DataTypes","ReferenceKey1","index","0.016129","0","0"
"DataTypes","OOPCourseCommunity","is_visible_for","0.435484","0","0"
"Event_Handler_and_Listener","Event_Handler_and_Listener","contains","0.072581","0","0"
"Event_Handler_and_Listener","Event_Listeners","contains","0.072581","0","0"
"Event_Handler_and_Listener","Event_Types","contains","0.072581","0","0"
"Event_Handler_and_Listener","Events","contains","0.072581","0","0"
"Event_Handler_and_Listener","Graphical_User_Interface","hasPreLesson","0.064516","0","0"
"Event_Listeners","Event_Listeners","hasPreResource","0.298387","0","0"
"Events","Task_about_GUI","hasPreResource","0.298387","0","0"
"Exception_Handling","Exception_Types","contains","0.072581","0","0"
"Exception_Handling","Exceptions","contains","0.072581","0","0"
"Exception_Handling","Task_about_Exception_Handling","contains","0.072581","0","0"
"Exception_Handling","Try_and_Catch","contains","0.072581","0","0"
"Exception_Handling","Event_Handler_and_Listener","hasPreLesson","0.064516","0","0"
"Exceptions","Try_and_Catch","hasPreResource","0.298387","0","0"
"ExperiencePoints","SimpleResource","subClassOf","0.548387","0","0"
"ExperiencePoints","Points","subClassOf","0.548387","0","0"
"ExperiencePointsLeaderboard","SimpleResource","subClassOf","0.548387","0","0"
"ExperiencePointsLeaderboard","Leaderboard","subClassOf","0.548387","0","0"
"Extend_Keyword","RFK_L4_R1","has_reference","0.266129","0","0"
"Extend_Keyword","Task_about_Class_Methods_and_Constructors","hasPreResource","0.298387","0","0"
"Feedback","GameElementResource","subClassOf","0.548387","0","0"
"Files","Exception_Handling","hasPreResource","0.298387","0","0"
"Function_Types","RFK_L3_R1","has_reference","0.266129","0","0"
"Function_Types","Task_about_Classes_and_Objects","hasPreResource","0.298387","0","0"
"Functions","RFK_L1_R3","has_reference","0.266129","0","0"
"Functions","Stash","containsGameElement","0.120968","0","1"
"Functions","Strings","hasPreResource","0.298387","0","0"
"GUI_Elements","Task_about_Polymorphism","hasPreResource","0.298387","0","0"
"GameElementResource","SimpleResource","subClassOf","0.548387","0","0"
"GamificationExperience","Experience","subClassOf","0.548387","0","0"
"GamificationKnowledge","Knowledge","subClassOf","0.548387","0","0"
"GamifiedResource","CompositeResource","subClassOf","0.548387","0","0"
"Global","UnderstandingPole","subClassOf","0.548387","0","0"
"Global","Sequential","disjointWith","0.032258","0","0"
"Graphical_User_Interface","Creating_linked_screens","contains","0.072581","0","0"
"Graphical_User_Interface","GUI_Elements","contains","0.072581","0","0"
"Graphical_User_Interface","Java_FX","contains","0.072581","0","0"
"Graphical_User_Interface","Task_about_GUI","contains","0.072581","0","0"
"Graphical_User_Interface","Polymorphism","hasPreLesson","0.064516","0","0"
"Hint","GameElementResource","subClassOf","0.548387","0","0"
"IK2","LevelGE","index","0.016129","0","0"
"IK2","OOPCourseCommunity","is_visible_for","0.435484","0","0"
"IK_GE_BlockGame","OOPCourseCommunity","is_visible_for","0.435484","0","0"
"IK_GE_LevelUp","OOPCourseCommunity","is_visible_for","0.435484","0","0"
"IK_GE_Motrain","OOPCourseCommunity","is_visible_for","0.435484","0","0"
"IK_GE_TinyStash","OOPCourseCommunity","is_visible_for","0.435484","0","0"
"IK_GE_stash","OOPCourseCommunity","is_visible_for","0.435484","0","0"
"Inheritance","Extend_Keyword","contains","0.072581","0","0"
"Inheritance","Inheritance_vs_Composition","contains","0.072581","0","0"
"Inheritance","Multi-level_inheritance","contains","0.072581","0","0"
"Inheritance","Parent_classes","contains","0.072581","0","0"
"Inheritance","Single_level_inheritance","contains","0.072581","0","0"
"Inheritance","Super_Keyword","contains","0.072581","0","0"
"Inheritance","Task_about_Inheritance","contains","0.072581","0","0"
"Inheritance","Class_Methods_and_Constructors","hasPreLesson","0.064516","0","0"
"Inheritance_vs_Composition","RFK_L4_R5","has_reference","0.266129","0","0"
"Inheritance_vs_Composition","Super_Keyword","hasPreResource","0.298387","0","0"
